Username,Comment
@AjayYadav-xe6er,Aisa hi ek aur songs
@Singh73794,Pooja bhi dhokebaaz or choti bhan bhi 💔😭
@jashwantbharti8444,2024 end 😂😂
@shikhavishwakarma-y1x,so nice
@AnimekrillHindi,2:47  it' iconic ❤
@AnimekrillHindi,End 2024 ❤🎉
@B.Sgamingyt33,I lesen this song daily ❤
@dissupardhi302,Any one 2026
@AshishParjapat,2:50
@S7RAWATLIVE,❤❤
@jatinsaxena4986,2024 me kon kon sun raha hai ye song
@nidhimamgain6161,"Apne utube ko bhi thoda advertise kro , itna acha gatey ho mil kr mehnt krte ho , Instagram me bhot likes followers milte h pr utube me kch bhi ni , acha ni lga😅"
@manishmichael8665,Anyone here in 2024❤
@sunitabhaskar9519,Nice song 🎵🎵🎵🎶🎶🎼🎼🎼
@SukhdevSign,❤❤❤❤
@dipanshudubey00_1,Anyone in 2024❤❤
@VAamirModi,This Is Legend 2024 punjabi best song hai 🔥 🔥🔥 🔥 🔥 🔥
@ziauddinzira8248,Need remake of this song
@ziauddinzira8248,July 2024🎉
@kunalsingh5406,July. 2024  likes
@tarungurjar3839,❤❤
@KeshavprasadSonvani,Nice song
@tauseefahmad999,Kon kon 2050 me sun raha hai 😁😁
@Budgiesworld0093,The wedding is fully incomplete without this song  😂
@thefarminglife001,My everytime favourite song
@manojsahusahu4247,Mane
@Vikas-kp7qr,Listening in 6/24
@Rasid_khinchi00786,D. r. Nice👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@lyricslife8,Its may 2024 still masterpiece 🔥🔥
@impatnagamer,Kon kon ye songs ko Bachpan mein sonta tha 😂
@devsaisidar749,43.
@chittranshofficial,2:40
@lakhanrathod5595,Drop likes if you’re listening in jun 24
@snehashetty5432,Bhai it's 2024.... And tusi pooja pichhe pd gye ... Ohdi gal vakhri...
@impatnagamer,Old days 🥺 songs
@yadav_ji_2007_a,Listening on  12 June 2024 ❤
@sauravkumar-yv1go,August 2024 को ये गाना मै सुन रहा हूँ
@SangeetaJatinder8398,2024❤❤
@Surya.kr46,Vah bur remix song
@varunpandey6297,1:00 1:45 1:49 2:40 3:16@
@lovekittens,Copy of Abrar ul Haq 😮
@Jitendra_yadav_hu5fg,Good
@-Satyam_patel.1,After june anymore
@storyjunctionwithneeraj5711,June 2024 me sunne bale ❤
