Username,Comment
@ik2731,Kapil sir aapke show ka new season kab aayega jaldi show shuru karo please we are waiting for new episodes
@Radhe1543,❤❤😂
@VarghesEo-g6u,😂😂😂😂😂😂😁
@avinashchoubey1515,Bretlee is so handsome
@tollywoodentertainments3233,11:13 UNIVERSE BOSS Entry❤🤩
@vdogra,Arco sir was just sitting no one asked him 😂😂
@TechnicalKris,48:54 😂 Chris 🙏🏻 Hindi afraid you.
@rafiullahqureshi3162,Chris have 2 GF from india shocked
@sunilsenapati2849,WOW IT'S VERY AWESOME ❤❤❤❤❤❤❤❤
@nabeelshahmeer7873,Best episode ever.😅🎉
@FMdTamal,সবি ঘেটো নিগা থাগ লাইফ
@KhanSahb-g9r,Wow chris gayle so funny man😮😂
@mohammedmuyeen4292,Arko ko sirf hasne k liye bulaya😅
@BismaMalik-c5w,Breet my first fav cricket player ❤❤❤
@nithinrupula4132,Kapil's English is very smooth and easy to listen and understand. Thank you sir this episode is very nice as a flow of river.
@harshakumari192,Brett lee and chris Gayle introduction start after 10:52
@shalinidevi2532,Gyale and Lee osm ❤❤🥰🥰🥰🥰
@ankitpal1903,Very funny shows still I have seen😂😂😂😂😂😂😂😂
@sahilgill157,Chris gayle my favorite ❤
@raghuhiregoudar7623,😢 I miss you chris boss and too cute brett Lee love you both ❤
@raghuhiregoudar7623,❤I love you my boss chris ❤for ever you are best in rcb
@chhayasharma1346,17:31  Brett Lee 🔥🔥
@hathichotu165,woww breetLee
@FTFfatTOfit,Goat. Heros of our childhood
@VrindaSharma-o1o,❤❤
@obinduyu1717,👌😮Both chris and bret are so huge and tall compare to kapil..and kapil isnt short too..he is 5.9ft inch approx
@swarnkaur1562,I m very big fan of  your show..... also a cricket lover ....and a big fan of these two players...Very happy to c...... .                   I have one suggestion that when the foreigner celebrities are invited for the show...I think there should an accurate translator to let them know what is one says in hindi so that they can enjoy 100%.........and even Ma'am Archana can help to translate where u feel some.......don't mind...just a suggestion....
@shiningsingh5522,I love Brett Lee ❤ always 🇮🇳. But at the time of match i supported my country ❤.
@Kalki-2,Both are Legends ❤️😘💪👌👍
@LavleshGupta-st7yx,इंग्लिश न समझ पाने वाले like kare 😢😢😢
@VikashKumar-kw5ck,This show is all about making fun of Bharat and Bharat culture 🤦🤦🤦🤦🤦
@VikashKumar-kw5ck,Making fun of bhojpuri 😾😡😠👿👿
@redxrajvir4068,Ignore the problems in your life just like they ignores arko 😂
@rncq2094,They have very good sense of humour
@rncq2094,I want teeth like Chris 😂
@dimpletripathi2000,Arko be like : bekaar aa gya
@RajuTaye-ds7ql,😊 31:53 😊😊😊😊
@DipankarSaikia719,But fact we are not mainland indian😂
@DipankarSaikia719,Don't tell indian people spicy lovers..........we North East people don't use masala at all......most cooking with boiling
@chandanpati5093,Chris Gayle Teeth so beautyfull😆😆😆😆
@funnybunny4299,Is that girl Samantha?
@shreejithnair4562,Best Cricketers I Love to watch... Amazing personalities
@radheday7902,2023 kon kon dekh rai
@MegaSyeddanish,actress name of the government madam?
@rakshitkumar8475,Breet Lee my favorite
@pratikgaming6275,48:54 😂😂😂😂😂😂😂
@AmitKumar-mv7rn,Most humbe man Chris Gayle Lee such a modle
@abhishekgujral8158,Bhojpuri comentry was epoc
@sunupayak8109,😂😂😂😂❤
@dillutech7091,Both are the legend.Great man
@ShubhamJain-og1qf,Arko looking like Kirmada of Chhota Bheem 😂😂
@ayushdahit8924,Both legends ❤
@SukhveerSingh-m5u,"So nice I am sukhveer rajput❤❤




❤"
@bhatthd7900,Miovs daab. Mithun dada sanjay datt ❤❤
